Item ID,Custom label,Product ID type,Product ID value,Product ID value 2,Quantity available,Purchases,Bids,Price,Start date,End date,Condition,Type,Item title,Category leaf name,Category number,Private notes,Site listed,Download date,Variation details,Product reference ID,Condition ID,OutOfStockControl
363069243020,SKU0541,,,,0,0,,�79.43,06-Aug-20,,New,9,"Razer Basilisk Quartz True 16,000 5 Generation Optical Sensor, Removable Dpi","Mice, Trackballs & Touchpads",23160,,3,06-Aug-20 21:53:52 BST,,,1000,false
363069243021,SKU00680,,,,0,0,,�5.98,06-Aug-20,,New,9,"Garnier Body Summer Body Moisturising Lotion Sun-Kissed Look, 400ml",Fake Tanning Products,31773,,3,06-Aug-20 21:53:52 BST,,,1000,false
363069243022,SKU0394,,,,0,0,,�23.41,06-Aug-20,,New,9,Groomers Simply Naturals Oatmeal and Honey Shampoo 2.5L,Shampooing & Washing,149019,,3,06-Aug-20 21:53:52 BST,,,1000,false
363069243023,SKU0464,,,,0,0,,�24.61,06-Aug-20,,New,9,"Yankee Candle Large Jar Scented Candle, Pink Sands, Up to 150 Hours Burn Time",Candles & Tea Lights,46782,,3,06-Aug-20 21:53:52 BST,,27026504037,1000,false
363069243024,SKU00660,,,,0,0,,�10.45,06-Aug-20,,New,9,"John Frieda Luxurious Volume Touchably Full Volumising Shampoo for Fine Hair,",Styling Products,11860,,3,06-Aug-20 21:53:52 BST,,,1000,false
363069243025,SKU0383,,,,0,0,,�77.65,06-Aug-20,,New with tags,9,"SONGMICS Extra Large Jewellery Box, 10-Layer Storage Case, Faux Leather",Jewellery Boxes,3820,,3,06-Aug-20 21:53:52 BST,,,1000,false
363069243026,SKU0411,,,,0,0,,�27.35,06-Aug-20,,New,9,"NETGEAR GS105, 5 Port Gigabit Ethernet Network Switch, Ethernet Splitter, Hub,",Network Hubs,11180,,3,06-Aug-20 21:53:52 BST,,,1000,false
363069243028,SKU00591,,,,0,0,,�242.69,06-Aug-20,,New,9,"Google Nest Learning Thermostat, 3rd Generation, Copper",Programmable Thermostats,115949,,3,06-Aug-20 21:53:52 BST,,26033691298,1000,false
363069243029,SKU0570,,,,0,0,,�26.05,06-Aug-20,,New,9,FRONTLINE Spot On Flea & Tick Treatment for Cats - 6 Pipettes,Flea & Tick Remedies,20738,,3,06-Aug-20 21:53:52 BST,,531516100,1000,false
363069243030,SKU00676,,,,0,0,,�8.20,06-Aug-20,,New,9,Sylvanian Families - Double Pushchair,Sylvanian Families,64844,,3,06-Aug-20 21:53:52 BST,,,1000,false
363069243033,SKU00637,,,,0,0,,�8.21,06-Aug-20,,New,9,"Muc-Off Wet Chain Lube, 120 Millilitres - Biodegradable Bike Chain Lubricant,",Lubrication & Cleaning,123475,,3,06-Aug-20 21:53:52 BST,,,1000,false
363069243034,SKU0536,,,,0,0,,�23.40,06-Aug-20,,New,9,"Yankee Candle Votive Value Bundle with 15 Votive Scented Candles, Mixed Popular",Candles & Tea Lights,46782,,3,06-Aug-20 21:53:52 BST,,19028940970,1000,false
